FECHA,PROVINCIA_DESTINO,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2020/06,Gerona/Girona,93078,527976,6.0
2020/06,Granada,17794,145755,8.0
2020/06,Guadalajara,10267,65444,6.0
2020/06,Guipúzcoa/Gipuzkoa,52191,321302,6.0
2020/06,Huelva,19454,159831,8.0
2020/06,Huesca,12078,66495,6.0
2020/06,Islas Baleares/Illes Balears,35726,316260,9.0
2020/06,Jaén,7749,68755,9.0
2020/06,La Rioja,6555,49886,8.0
2020/06,Las Palmas,22329,189892,9.0
2020/06,León,7473,58902,8.0
2020/06,Lleida,21542,137964,6.0
2020/06,Lugo,5240,43580,8.0
2020/06,Madrid,122046,1047787,9.0
2020/06,Melilla,8279,55703,7.0
2020/06,Murcia,34923,308033,9.0
2020/06,Málaga,43195,418466,10.0
2020/06,Navarra,33236,200150,6.0
2020/06,Ourense,15913,103381,6.0
2020/06,Palencia,6536,38370,6.0
2020/06,Pontevedra,27839,195728,7.0
2020/06,Salamanca,18873,123676,7.0
2020/06,Santa Cruz de Tenerife,18976,194419,10.0
2020/06,Segovia,4421,31922,7.0
2020/06,Sevilla,21700,194202,9.0
2020/06,Soria,5107,27360,5.0
2020/06,Tarragona,29691,197852,7.0
2020/06,Teruel,3811,25509,7.0
2020/06,Toledo,11362,90985,8.0
2020/06,Valencia/València,54543,441708,8.0
2020/06,Valladolid,12337,84184,7.0
2020/06,Zamora,12185,68486,6.0
2020/06,Zaragoza,24145,163237,7.0
2020/06,Álava/Araba,16054,107157,7.0
2020/06,Ávila,2675,20081,8.0
2020/07,A Coruña,27512,350615,13.0
2020/07,Albacete,11111,143379,13.0
2020/07,Alicante/Alacant,211462,2155071,10.0
2020/07,Almería,40471,473102,12.0
2020/07,Asturias,27708,313157,11.0
2020/07,Badajoz,32029,396827,12.0
2020/07,Barcelona,299533,2809636,9.0
2020/07,Bizkaia,28820,283757,10.0
2020/07,Burgos,31257,212884,7.0
2020/07,Cantabria,25468,250577,10.0
